Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
09-10-2000,90.73277204,90.73277204,89.48875792,89.8900528,4508000,9,0,41,10,2000
10-10-2000,89.95027445,90.6926702,88.4052887,88.4052887,6104700,10,1,41,10,2000
11-10-2000,88.36513071,89.0072025,86.75995122,87.66286469,10346000,11,2,41,10,2000
12-10-2000,88.14441807,88.34506551,85.25509501,85.47580719,12336900,12,3,41,10,2000
13-10-2000,85.35544453,88.38522171,85.31531504,88.32502747,11778800,13,4,41,10,2000
16-10-2000,88.22466171,88.75637732,87.76317269,88.72628021,5659000,16,0,42,10,2000
17-10-2000,88.88681237,88.96707134,86.29846049,86.51917267,7831700,17,1,42,10,2000
18-10-2000,85.15480643,87.40205863,83.56969104,86.19817352,10897300,18,2,42,10,2000
19-10-2000,87.86350897,89.538915,87.60266731,89.44862366,8767300,19,3,42,10,2000
20-10-2000,88.84669198,90.65251906,88.84669198,89.8298645,7373500,20,4,42,10,2000
23-10-2000,89.84991006,90.55217599,89.20783835,90.23114014,5290000,23,0,43,10,2000
24-10-2000,90.51209868,91.13410601,89.24801927,89.62924957,5750700,24,1,43,10,2000
25-10-2000,89.08745746,89.60914077,87.40201908,87.52240753,9137600,25,2,43,10,2000
26-10-2000,88.04407468,88.38517524,86.05766552,87.76316833,9345800,26,3,43,10,2000
27-10-2000,88.52567514,89.42858887,87.72308515,89.42858887,9762900,27,4,43,10,2000
30-10-2000,88.88680249,90.59230547,88.70621982,90.23114014,10154100,30,0,44,10,2000
31-10-2000,90.54214931,92.25768477,89.93017467,91.78616333,7752400,31,1,44,10,2000
01-11-2000,91.33472835,91.97680025,90.6725917,91.47518158,6753600,1,2,44,11,2000
02-11-2000,91.91661023,92.39816418,91.5052829,91.62567139,11395100,2,3,44,11,2000
03-11-2000,92.11725145,92.29783417,91.41498532,91.67582703,5187100,3,4,44,11,2000
06-11-2000,91.91661426,92.6489776,91.83635527,92.31790924,4042500,6,0,45,11,2000
07-11-2000,91.90653575,92.45831607,91.53533809,92.29779816,5231300,7,1,45,11,2000
08-11-2000,92.49845645,92.49845645,90.25120544,90.25120544,6123300,8,2,45,11,2000
09-11-2000,89.89005336,90.67257838,88.12435588,89.9101181,10635300,9,3,45,11,2000
10-11-2000,89.24798891,89.5489601,87.662874,87.72306824,8569500,10,4,45,11,2000
13-11-2000,87.08097726,87.95379351,85.40557136,87.04084778,17285300,13,0,46,11,2000
14-11-2000,88.2648231,89.64929066,87.96385189,89.3282547,7668900,14,1,46,11,2000
15-11-2000,89.28812542,89.96029445,88.44540603,89.60916138,8837700,15,2,46,11,2000
16-11-2000,88.97712845,89.80981552,88.16450612,88.20463562,6684100,16,3,46,11,2000
17-11-2000,88.16449293,89.2479892,87.16125564,87.73310089,6551100,17,4,46,11,2000
20-11-2000,87.16121255,87.56250727,86.23823471,86.47901154,5458500,20,0,47,11,2000
21-11-2000,86.59947329,87.44219291,85.72665654,86.92050934,7684300,21,1,47,11,2000
22-11-2000,86.25837617,86.59947698,84.83377866,84.84381104,5736900,22,2,47,11,2000
24-11-2000,85.79684359,86.65962757,85.79684359,86.57936859,3411600,24,4,47,11,2000
27-11-2000,87.62275676,87.76321,86.88036106,87.34185028,5992000,27,0,48,11,2000
28-11-2000,86.75994561,87.7029885,85.80687035,85.83696747,5336100,28,1,48,11,2000
29-11-2000,86.27843334,87.26160619,85.56613465,85.67649078,6914100,29,2,48,11,2000
30-11-2000,85.07451235,85.71658414,83.30881492,84.93405914,11201600,30,3,48,11,2000
01-12-2000,85.51595094,86.07776385,84.11141866,84.89394379,7587200,1,4,48,12,2000
04-12-2000,84.6732289,85.95737266,84.43245195,85.61627197,6996600,4,0,49,12,2000
05-12-2000,86.59944679,88.76643944,86.29847559,88.42533875,8883400,5,1,49,12,2000
06-12-2000,88.46544355,88.82660889,86.69974633,87.01074982,12888000,6,2,49,12,2000
07-12-2000,86.5994579,87.24152988,85.81693268,85.81693268,6529100,7,3,49,12,2000
08-12-2000,88.00398826,89.54897391,85.95738388,86.01757813,10276300,8,4,49,12,2000
11-12-2000,88.20461997,89.60915213,87.78326032,89.00720978,6405600,11,0,50,12,2000
12-12-2000,88.72631556,89.12761052,88.20463211,88.62599182,5022900,12,1,50,12,2000
13-12-2000,89.40851358,89.50883731,87.34184461,87.41207123,6070500,13,2,50,12,2000
14-12-2000,87.24150486,87.64279973,86.05768499,86.29846191,7678400,14,3,50,12,2000
15-12-2000,85.73797205,85.73797205,84.08761672,84.34925842,9065300,15,4,50,12,2000
18-12-2000,85.05371959,85.95940283,84.86251979,85.47637177,7235400,18,0,51,12,2000
19-12-2000,85.31533382,86.92543684,83.73542023,83.73542023,9616600,19,1,51,12,2000
20-12-2000,82.83981699,83.0410799,81.20958735,81.31021881,9994300,20,2,51,12,2000
21-12-2000,81.14921745,82.99077336,80.84732304,81.87376404,14331500,21,3,51,12,2000
22-12-2000,83.08131747,84.43984192,82.98068603,84.32914734,10182900,22,4,51,12,2000
26-12-2000,84.26878599,85.23484802,83.90651273,85.23484802,4665300,26,1,52,12,2000
27-12-2000,84.85245001,86.1304696,84.53042933,85.85876465,4854100,27,2,52,12,2000
28-12-2000,85.53672946,86.22102329,85.39584543,86.12039185,8358700,28,3,52,12,2000
29-12-2000,86.34179999,86.48268405,84.49018097,84.49018097,8774600,29,4,52,12,2000
02-01-2001,85.0134686,85.11410008,82.15553476,82.96058655,8737500,2,1,1,1,2001
03-01-2001,82.63856039,87.58962854,82.21590823,86.94558716,19431600,3,2,1,1,2001
04-01-2001,86.90533225,87.24747923,85.6575021,86.00971222,9219000,4,3,1,1,2001
05-01-2001,85.95938928,86.06002074,83.2020874,83.2020874,12911400,5,4,1,1,2001
08-01-2001,83.64485223,83.84611511,82.23601209,83.84611511,6625300,8,0,2,1,2001
09-01-2001,84.39961822,84.6914495,83.35305088,83.62475586,5702400,9,1,2,1,2001
10-01-2001,83.0813046,85.09393311,82.96054689,85.09393311,8746100,10,2,2,1,2001
11-01-2001,84.42981887,85.96948064,84.42981887,85.17449188,7245100,11,3,2,1,2001
12-01-2001,85.456206,86.12037341,84.55052318,85.01342773,7244000,12,4,2,1,2001
16-01-2001,85.01345203,85.77825108,84.70149452,85.55686188,8542200,16,1,3,1,2001
